Name,Price,Slug,Description,Compare At Price,Category Slug,Images
SDD Fringe Bob,499.00,sdd-fringe-bob,"8-inch Super Double Drawn with bangs. Perfect for a chic, everyday look. Premium quality that lasts.",580.00,straight,company info/sdd-fringe-bob-1.jpeg|company info/sdd-fringe-bob-2.jpeg
Vietnamese SDD 5×5,1600.00,vietnamese-sdd-5x5,"18-inch Vietnamese straight, 250g. Premium quality for the ultimate sleek look. 100% virgin hair with natural flow.",1800.00,straight,company info/vietnamese-sdd-5x5-1.jpeg|company info/vietnamese-sdd-5x5-2.jpeg
DD Bouncy Fringe,699.00,dd-bouncy-fringe,"12-inch Double Drawn bouncy curls, 200g. Fun and flirty with natural movement. Perfect for adding volume.",799.00,curly,company info/dd-bouncy-fringe-1.jpeg|company info/dd-bouncy-fringe-2.jpeg
Raw Vietnamese Bouncy,1050.00,raw-vietnamese-bouncy,"14-inch Raw Vietnamese bouncy waves. 100% virgin hair for that natural flow. Premium quality you can feel.",1200.00,wavy,company info/raw-vietnamese-bouncy-1.jpeg|company info/raw-vietnamese-bouncy-2.jpeg
SDD Pixie Band Wig,1300.00,sdd-pixie-band-wig,"Super Double Drawn pixie cut band wig. Bold, beautiful, and easy to wear. Low maintenance, high impact.",1500.00,pixie,company info/sdd-pixie-band-wig-1.jpeg|company info/sdd-pixie-band-wig-2.jpeg
Luxury Deep Wave,1400.00,luxury-deep-wave,"Raw Hair SDD, 250g. Our signature deep wave for effortless glamour. The kind of quality you can touch, see, and slay in.",1600.00,wavy,company info/luxury-deep-wave-1.jpeg
Vietnamese SDD 2×6 KimK Closure,800.00,vietnamese-sdd-2x6-kimk,"Vietnamese Super Double Drawn with 2x6 Kim K closure. Sleek middle part for that celebrity look.",950.00,straight,company info/vietnamese-sdd-2x6-kimk-1.jpeg
SDD Feathered Bob,700.00,sdd-feathered-bob,"Super Double Drawn feathered bob. Lightweight with beautiful movement. Professional yet playful.",850.00,straight,company info/sdd-feathered-bob-1.jpeg|company info/sdd-feathered-bob-2.jpeg
Easy Layered Bouncy,850.00,easy-layered-bouncy,"Super Double Drawn layered bouncy style. Pre-styled and ready to wear. Effortless beauty in seconds.",1000.00,curly,company info/easy-layered-bouncy-1.jpeg
Super DD Rude Bounce 5×5,1400.00,super-dd-rude-bounce-5x5,"Super Double Drawn defined curls with 5x5 closure, 250g. Statement-making curls for bold personalities.",1600.00,curly,company info/luxury-deep-wave-1.jpeg
Vietnamese SDD 5×5 Highlight,1700.00,vietnamese-sdd-5x5-highlight,"18-inch Vietnamese straight with custom highlights, 250g. Premium with a touch of color for added dimension.",1950.00,straight,company info/vietnamese-sdd-5x5-highlight-1.jpeg
